  model   year   price   transmissionmileage fuelTypetax         mpg    engineSizeautomaker age
66 GT86      2016 13999Manual         19987Petrol          260      36.2         2toyota         7
67 GT86      2012    9995Automatic    74599Petrol          200      39.8         2toyota        11
68 GT86      2015 10499Automatic      81206Petrol          200      39.8         2toyota         8
69 GT86      2012 11995Manual         53000Petrol          250      36.2         2toyota        11
 70 GT86      2015   13495Manual       49000Petrol   265   36.2     2toyota    8
 71 GT86      2019   24990Automatic     4000Petrol   145   32.8     2toyota    4
 72 GT86      2017   19500Manual        6725Petrol   145   36.2     2toyota    6
 73 GT86      2020   28000Manual         650Petrol   145   33.2     2toyota    3
 74 Corolla   2005    1300Manual      129000Petrol   260   36.7   1.8toyota   18
 75 Corolla   2019   20250Automatic     7445Hybrid   140   85.6   1.8toyota    4
 76 Corolla   2020   26980Automatic     5000Hybrid   135   72.4     2toyota    3
 77 Corolla   2019   21995Automatic     8789Hybrid   135   85.6   1.8toyota    4
 78 Corolla   2019   18995Manual        2193Petrol   145   39.2   1.2toyota    4
 79 Corolla   2019   22498Automatic     9798Hybrid   135   78.5   1.8toyota    4
 80 Corolla   2019   20998Automatic     8442Hybrid   135   85.6   1.8toyota    4
 81 Corolla   2019   27990Automatic     3650Hybrid   135   72.4     2toyota    4
 82 Corolla   2019   22520Automatic     7666Hybrid   135   85.6   1.8toyota    4
 83 Corolla   2019   17440Manual        6346Petrol   145   39.2   1.2toyota    4
 84 Corolla   2019   22990Automatic     9000Hybrid   135   78.5   1.8toyota    4
 85 Corolla   2019   25570Automatic     3196Hybrid   135   72.4     2toyota    4
 86 Corolla   2019   19998Automatic     1992Hybrid   135   85.6   1.8toyota    4
 87 Corolla   2019   23990Automatic     9500Hybrid   135   78.5   1.8toyota    4
 88 Corolla   2019   19995Automatic    12158Hybrid   135   85.6   1.8toyota    4
 89 Corolla   2019   24995Automatic     5500Hybrid   135   72.4     2toyota    4
 90 Corolla   2019   24995Automatic     1350Hybrid   135   72.4     2toyota    4
 91 Corolla   2019   23440Automatic     5000Hybrid   135   78.5   1.8toyota    4
 92 Corolla   2019   21990Automatic     9278Hybrid   135   85.6   1.8toyota    4
 93 Corolla   2019   20990Automatic     5000Hybrid   135   85.6   1.8toyota    4
 94 Corolla   2019   19990Automatic    10500Hybrid   135   85.6   1.8toyota    4
 95 Corolla   2019   21995Automatic     9100Hybrid   135   58.9   1.8toyota    4
 96 Corolla   2019   22070Automatic     9304Hybrid   135   78.5   1.8toyota    4
 97 Corolla   2019   22490Automatic     9500Hybrid   135   85.6   1.8toyota    4
 98 Corolla   2019   15990Manual        3500Petrol   145   39.2   1.2toyota    4
 99 Corolla   2019   21998Automatic     9023Hybrid   135   72.4     2toyota    4
100 Corolla   2019   22075Automatic     9684Hybrid   135   85.6   1.8toyota    4
101 Corolla   2020   28990Automatic     2000Hybrid   140   53.3     2toyota    3
102 Corolla   2019   16995Manual        6503Petrol   145   39.2   1.2toyota    4
103 Corolla   2019   18498Manual        5087Petrol   145   39.2   1.2toyota    4
104 Corolla   2019   25995Automatic     1751Hybrid   135   72.4     2toyota    4
105 Corolla   2019   24998Automatic     6195Hybrid   140   72.4     2toyota    4
106 Corolla   2019   23500Automatic     4720Hybrid   135   78.5   1.8toyota    4
107 Corolla   2019   21750Automatic     2839Hybrid   135   85.6   1.8toyota    4
108 Corolla   2019   21000Automatic    11408Hybrid   135   85.6   1.8toyota    4
109 Corolla   2019   23000Automatic     6788Hybrid   135   85.6   1.8toyota    4
110 Corolla   2019   25000Automatic     2430Hybrid   140   78.5   1.8toyota    4
111 Corolla   2019   23000Automatic     3579Hybrid   135   72.4     2toyota    4
112 Corolla   2019   24000Automatic     6415Hybrid   135   72.4     2toyota    4
113 Corolla   2019   22500Automatic     9493Hybrid   135   78.5   1.8toyota    4
114 Corolla   2019   22790Automatic     5830Hybrid   135   72.4     2toyota    4
115 Corolla   2019   22790Automatic     9781Hybrid   135   72.4     2toyota    4
116 Corolla   2019   21490Automatic     8950Hybrid   135   72.4     2toyota    4
117 Corolla   2019   17250Manual       12000Petrol   145   39.2   1.2toyota    4
118 Corolla   2019   15998Manual        7016Petrol   145   39.2   1.2toyota    4
119 Corolla   2019   20498Automatic    13872Hybrid   140   72.4     2toyota    4
120 Corolla   2019   15990Manual        2336Petrol   145   39.2   1.2toyota    4
121 Corolla   2019   20488Automatic     3892Hybrid   140   58.9   1.8toyota    4
122 Corolla   2019   20288Manual        4886Petrol   150   39.2   1.2toyota    4
123 Corolla   2019   17995Manual        9770Petrol   145   39.2   1.2toyota    4
124 Corolla   2019   16490Manual        8599Petrol   145   39.2   1.2toyota    4
125 Corolla   2019   15990Manual        5346Petrol   145   39.2   1.2toyota    4
126 Corolla   2019   18290Manual        3250Petrol   145   39.2   1.2toyota    4
127 Corolla   2019   19998Manual        4290Petrol   150   39.2   1.2toyota    4
128 Corolla   2019   23888Automatic     3497Hybrid   140   72.4     2toyota    4
129 Corolla   2019   15990Manual        6449Petrol   145   39.2   1.2toyota    4
130 Corolla   2020   27495Automatic      998Hybrid   135   53.3     2toyota    3
131 Corolla   2019   23448Automatic     3988Hybrid   135   72.4     2toyota    4
132 Corolla   2019   22990Automatic     5268Hybrid   135   72.4     2toyota    4
133 Corolla   2019   18295Manual        1110Petrol   145   39.2   1.2toyota    4
134 Corolla   2019   18995Manual        1436Petrol   145   39.2   1.2toyota    4
135 Corolla   2019   21490Automatic     9296Hybrid   135   58.9   1.8toyota    4
136 Corolla   2019   22790Automatic     8322Hybrid   135   72.4     2toyota    4
137 Corolla   2019   17490Manual        9000Petrol   145   39.2   1.2toyota    4
138 Corolla   2019   24388Automatic     8000Hybrid   135   72.4     2toyota    4
139 Corolla   2020   25988Automatic    10000Hybrid   135   53.3     2toyota    3
140 Corolla   2019 16490Manual         8328Petrol   145   39.2   1.2toyota   4
141 Corolla   2019   21790Automatic   10836Hybrid   135   78.5   1.8toyota   4
142 Corolla   2019   16490Manual       4890Petrol   145   39.2   1.2toyota   4
143 Corolla   2019   24790Automatic    5651Hybrid   140   72.4     2toyota   4
144 Corolla   2019   21490Automatic    9735Hybrid   135   78.5   1.8toyota   4
145 Corolla   2019   18495Manual       8514Petrol   145   39.2   1.2toyota   4
146 Corolla   2019   18495Manual       4774Petrol   145   39.2   1.2toyota   4
147 Corolla   2019   24995Automatic    7500Hybrid   140   58.9   1.8toyota   4
148 Corolla   2019   16995Manual       3000Petrol   145   39.2   1.2toyota   4
149 Corolla   2019   22790Automatic   12501Hybrid   135   72.4     2toyota   4
150 Corolla   2020   25990Automatic    6124Hybrid   135   53.3     2toyota   3
151 Corolla   2019   21490Automatic   10124Hybrid   135   85.6   1.8toyota   4
152 Corolla   2019   21490Automatic    9107Hybrid   135   72.4     2toyota   4
153 Corolla   2019   23698Automatic    2535Hybrid   135   72.4     2toyota   4
154 Corolla   2020   22990Automatic    2797Hybrid   135   62.8   1.8toyota   3
155 Corolla   2020   26490Automatic    1879Hybrid   135   53.3     2toyota   3
156 Corolla   2020   25490Automatic    1697Hybrid   135   56.5   1.8toyota   3
157 Corolla   2019   22990Automatic   13410Hybrid   135   72.4     2toyota   4
158 Corolla   2019   19990Manual       4332Petrol   150   39.2   1.2toyota   4
159 Corolla   2019   20990Manual       8503Petrol   150   39.2   1.2toyota   4
160 Corolla   2019   17890Manual       3695Petrol   150   39.2   1.2toyota   4
161 Corolla   2019   18995Manual       2579Petrol   145   39.2   1.2toyota   4
162 Corolla   2019   17990Manual       6057Petrol   145   39.2   1.2toyota   4
163 Corolla   2019   18690Manual       2907Petrol   145   39.2   1.2toyota   4
164 Corolla   2019   16990Manual       7134Petrol   145   39.2   1.2toyota   4
165 Corolla   2019   16990Manual         25Petrol   145   39.2   1.2toyota   4
166 Corolla   2019   22727Automatic    4451Hybrid   135   72.4     2toyota   4
167 Corolla   2019   20995Automatic    5668Hybrid   135   72.4     2toyota   4
168 Corolla   2019   20995Automatic    5250Hybrid   135   85.6   1.8toyota   4
169 Corolla   2019   22290Automatic    4633Hybrid   140   78.5   1.8toyota   4
170 Corolla   2019   16490Manual       9625Petrol   145   39.2   1.2toyota   4
171 Corolla   2019   19790Automatic    5804Hybrid   135   85.6   1.8toyota   4
172 Corolla   2019   15790Manual      10000Petrol   145   39.2   1.2toyota   4
173 Corolla   2019   17480Manual       9999Petrol   145   39.2   1.2toyota   4
174 Corolla   2020   24980Automatic    5000Hybrid   135   57.7   1.8toyota   3
175 Corolla   2019   18990Manual       3860Petrol   145   39.2   1.2toyota   4
176 Corolla   2019   21495Automatic    9004Hybrid   135   85.6   1.8toyota   4
177 Corolla   2019   17960Manual       4500Petrol   145   39.2   1.2toyota   4
178 Corolla   2019   23995Automatic    5784Hybrid   135   72.4     2toyota   4
179 Corolla   2019   17995Manual       6551Petrol   145   39.2   1.2toyota   4
180 Corolla   2019   24795Automatic    6770Hybrid   135   72.4     2toyota   4
181 Corolla   2019   18995Manual        500Petrol   145   39.2   1.2toyota   4
182 Corolla   2019   19995Manual        500Petrol   145   39.2   1.2toyota   4
183 Corolla   2019   22595Automatic   10500Hybrid   135   72.4     2toyota   4
184 Corolla   2019   25595Automatic    1215Hybrid   135   78.5   1.8toyota   4
185 Corolla   2019   23445Automatic    5558Hybrid   135   78.5   1.8toyota   4
186 Corolla   2019   23395Automatic    6125Hybrid   135   78.5   1.8toyota   4
187 Corolla   2019   23445Automatic    2620Hybrid   135   78.5   1.8toyota   4
188 Corolla   2019   24998Automatic    2474Hybrid   140   72.4     2toyota   4
189 Corolla   2019   23498Automatic    6513Hybrid   140   78.5   1.8toyota   4
190 Corolla   2019   23995Automatic    6989Hybrid   135   72.4     2toyota   4
191 Corolla   2019   22995Automatic   11000Hybrid   140   72.4     2toyota   4
192 Corolla   2019   22995Automatic    3754Hybrid   135   78.5   1.8toyota   4
193 Corolla   2020   28815Automatic     987Hybrid   140   53.3     2toyota   3
194 Corolla   2019   19995Automatic   11293Hybrid   135   85.6   1.8toyota   4
195 Corolla   2019   19995Automatic    5674Hybrid   140   85.6   1.8toyota   4
196 Corolla   2019   23995Automatic    9250Hybrid   135   72.4     2toyota   4
197 Corolla   2019   23495Manual       5600Petrol   145   39.2   1.2toyota   4
198 Corolla   2020   27995Automatic    2500Hybrid   135   53.3     2toyota   3
199 Corolla   2019   21000Automatic   11449Hybrid   140   78.5   1.8toyota   4
200 Corolla   2020   28000Automatic      10Hybrid   140   56.5   1.8toyota   3
201 Corolla   2019   17999Manual       3510Petrol   145   39.2   1.2toyota   4
202 Corolla   2019   20497Automatic    4412Hybrid   135   78.5   1.8toyota   4
203 Corolla   2019   23500Automatic   10016Hybrid   135   78.5   1.8toyota   4
204 Corolla   2019   21665Automatic   11051Hybrid   135   85.6   1.8toyota   4
205 Corolla   2019   21280Manual       5102Petrol   145   39.2   1.2toyota   4
206 Corolla   2019   24960Automatic    2535Hybrid   135   72.4     2toyota   4
207 Corolla   2019   19540Manual       8970Petrol   145   39.2   1.2toyota   4
208 Corolla   2019   20110Automatic    5922Hybrid   135   85.6   1.8toyota   4
209 Corolla   2019   23060Automatic   15631Hybrid   135   72.4     2toyota   4
210 Corolla   2020 26991Automatic       3636Hybrid   140   53.3    2toyota     3
211 Corolla   2019   22900Automatic     5910Hybrid   135   85.6   1.8toyota    4
212 Corolla   2019   24025Automatic     8812Hybrid   135   78.5   1.8toyota    4
213 Corolla   2019   26495Automatic     1000Hybrid   135   72.4     2toyota    4
214 Corolla   2019   27795Automatic     1000Hybrid   135   72.4     2toyota    4
215 Corolla   2019   22999Automatic     4113Hybrid   135   85.6   1.8toyota    4
216 Corolla   2019   21999Automatic     8171Hybrid   135   78.5   1.8toyota    4
217 Corolla   2019   19990Manual        3422Petrol   145   39.2   1.2toyota    4
218 Corolla   2019   19900Manual        6522Petrol   145   39.2   1.2toyota    4
219 Corolla   2019   22000Automatic    11478Hybrid   135   78.5   1.8toyota    4
220 Corolla   2019   19290Manual       10011Petrol   150   39.2   1.2toyota    4
221 Corolla   2019   19995Manual        7777Petrol   145   39.2   1.2toyota    4
222 Corolla   2019   23888Automatic    14417Hybrid   140   72.4     2toyota    4
223 Corolla   2019   22495Automatic     2034Hybrid   140   78.5   1.8toyota    4
224 Corolla   2020   28495Automatic     2141Hybrid   140   56.5   1.8toyota    3
225 Corolla   2019   25195Automatic     3998Hybrid   135   72.4     2toyota    4
226 Corolla   2019   21495Automatic    10420Hybrid   140   85.6   1.8toyota    4
227 Corolla   2019   21790Automatic    10120Hybrid   140   78.5   1.8toyota    4
228 Corolla   2020   24995Automatic     3989Hybrid   135   57.7   1.8toyota    3
229 Corolla   2020   22995Automatic      636Hybrid   135   62.8   1.8toyota    3
230 Corolla   2019   26995Automatic     3000Hybrid   140   72.4     2toyota    4
231 Corolla   2019   21995Automatic     9333Hybrid   135   78.5   1.8toyota    4
232 Corolla   2019   17495Manual         999Petrol   145   39.2   1.2toyota    4
233 Corolla   2019   22050Automatic    12000Hybrid   135   72.4     2toyota    4
234 Corolla   2020   28795Automatic     1544Hybrid   135   53.3     2toyota    3
235 Corolla   2020   20692Manual        7345Petrol   145   39.2   1.2toyota    3
236 Corolla   2019   21495Automatic    20657Hybrid   140   85.6   1.8toyota    4
237 Corolla   2019   22514Automatic     8309Hybrid   135   78.5   1.8toyota    4
238 Corolla   2020   29450Automatic      943Hybrid   135   53.3     2toyota    3
239 Corolla   2020   26950Automatic     3168Hybrid   135   53.3     2toyota    3
240 Corolla   2020   24995Automatic     2136Hybrid   135   56.5   1.8toyota    3
241 Corolla   2019   23000Automatic     6158Hybrid   140   72.4     2toyota    4
242 Corolla   2019   20689Automatic     7963Hybrid   135   85.6   1.8toyota    4
243 Corolla   2019   19219Manual         384Petrol   145   39.2   1.2toyota    4
244 Corolla   2019   21991Automatic     5000Hybrid   135   78.5   1.8toyota    4
245 Corolla   2019   22980Automatic     3459Hybrid   135   72.4     2toyota    4
246 Corolla   2019   15291Manual        7317Petrol   145   39.2   1.2toyota    4
247 Corolla   2019   22780Automatic     9980Hybrid   135   72.4     2toyota    4
248 Corolla   2020   19495Manual        4568Petrol   150   39.2   1.2toyota    3
249 Corolla   2019   18991Automatic     7000Hybrid   135   85.6   1.8toyota    4
250 Corolla   2019   19291Automatic    13998Hybrid   135   85.6   1.8toyota    4
251 Corolla   2019   23505Automatic     9264Hybrid   135   78.5   1.8toyota    4
252 Corolla   2019   17865Manual       17197Petrol   145   39.2   1.2toyota    4
253 Corolla   2019   20499Automatic     4942Hybrid   135   85.6   1.8toyota    4
254 Corolla   2020   27893Automatic     3390Hybrid   135   72.4     2toyota    3
255 Corolla   2019   22226Automatic     9264Hybrid   135   78.5   1.8toyota    4
256 Corolla   2019   16821Manual        6329Petrol   145   39.2   1.2toyota    4
257 Corolla   2020   25998Automatic     5000Hybrid   140   53.3     2toyota    3
258 Corolla   2003    1495Manual       89000Petrol   235   39.2   1.6toyota   20
259 Corolla   2019   20995Automatic     6834Hybrid   135   72.4     2toyota    4
260 Corolla   2019   17989Manual         151Petrol   145   39.2   1.2toyota    4
261 Corolla   2019   26999Automatic     6500Hybrid   140   72.4     2toyota    4
262 Corolla   2004    1250Manual      111000Petrol   260   37.2   1.8toyota   19
263 Corolla   2019   16495Manual        5517Petrol   145   39.2   1.2toyota    4
264 Corolla   2019   17995Manual        3792Petrol   145   39.2   1.2toyota    4
265 Corolla   2019   16495Manual        5139Petrol   145   39.2   1.2toyota    4
266 Corolla   2019   23995Automatic       42Hybrid   135   57.7   1.8toyota    4
267 Corolla   2020   25995Automatic      100Hybrid   135   53.3     2toyota    3
268 Corolla   2019   22250Automatic    10932Hybrid   135   78.5   1.8toyota    4
269 Corolla   2019   19995Automatic    14198Hybrid   135   85.6   1.8toyota    4
270 Corolla   2019   22485Automatic     9111Hybrid   140   78.5   1.8toyota    4
271 Corolla   2019   20985Automatic     5372Hybrid   135   85.6   1.8toyota    4
272 Corolla   2019   21999Automatic    17095Hybrid   140   72.4     2toyota    4
273 Corolla   2019   17999Manual          20Petrol   145   39.2   1.2toyota    4
274 Corolla   2019   17499Manual          20Petrol   145   39.2   1.2toyota    4
275 Corolla   2019   16299Manual       18020Petrol   145   39.2   1.2toyota    4
276 Corolla   2019   21450Automatic     9244Hybrid   140   85.6   1.8toyota    4
277 Corolla   2019   20499Automatic    10436Hybrid   135   78.5   1.8toyota    4
278 Corolla   2019   16491Manual          15Petrol   145   39.2   1.2toyota    4
279 Corolla   2019 21450Automatic       7899Hybrid   135   85.6   1.8toyota    4
280 Corolla   2019 21450Automatic       8908Hybrid   135   78.5   1.8toyota    4
281 Corolla   2003    2195Automatic   102000Petrol   300   34.5   1.8toyota   20
282 Corolla   2019   21995Automatic     4800Hybrid   135   85.6   1.8toyota    4
283 Corolla   2019   22691Automatic     3698Hybrid   135   72.4     2toyota    4
284 Corolla   2019   15991Manual          10Petrol   145   39.2   1.2toyota    4
285 Corolla   2019   23490Automatic     8239Hybrid   135   78.5   1.8toyota    4
286 Corolla   2019   25495Automatic     9317Hybrid   135   85.6   1.8toyota    4
287 Corolla   2001     899Automatic    76000Petrol   300   35.3   1.6toyota   22
288 Corolla   2019   17790Manual          15Petrol   145   39.2   1.2toyota    4
289 Corolla   2019   17990Manual          10Petrol   145   39.2   1.2toyota    4
290 Corolla   2019   16990Manual          10Petrol   145   39.2   1.2toyota    4
291 Corolla   2008    4295Manual       76300Petrol   260   36.7   1.8toyota   15
292 Corolla   2019   19795Automatic     7841Hybrid   135   78.5   1.8toyota    4
293 Corolla   2019   23395Automatic    10513Hybrid   140   85.6   1.8toyota    4
294 Corolla   2019   18700Manual        6597Petrol   145   39.2   1.2toyota    4
295 Corolla   2019   22700Automatic     6289Hybrid   135   78.5   1.8toyota    4
296 Corolla   2019   16790Manual          97Petrol   145   39.2   1.2toyota    4
297 Corolla   2019   23700Automatic     3628Hybrid   135   72.4     2toyota    4
298 Corolla   2020   26700Automatic     3675Hybrid   135   53.3     2toyota    3
299 Corolla   2019   23650Automatic     8087Hybrid   135   72.4     2toyota    4
300 Corolla   2019   21990Automatic    12000Hybrid   135   78.5   1.8toyota    4
301 Corolla   2020   19790Manual        3000Petrol   145   39.2   1.2toyota    3
302 Corolla   2019   20450Automatic     8000Hybrid   135   85.6   1.8toyota    4
303 Corolla   2019   16200Manual        3837Petrol   145   39.2   1.2toyota    4
304 Corolla   2019   21491Automatic     3993Hybrid   135   85.6   1.8toyota    4
305 Corolla   2019   21850Automatic     9300Hybrid   135   58.9   1.8toyota    4
306 Corolla   2020   23550Automatic     3000Hybrid   135   58.9   1.8toyota    3
307 Corolla   2019   21991Automatic    13000Hybrid   135   78.5   1.8toyota    4
308 Corolla   2019   22850Automatic     9000Hybrid   135   78.5   1.8toyota    4
309 Corolla   2019   19990Automatic     9968Hybrid   135   85.6   1.8toyota    4
310 Corolla   2019   19990Automatic    10175Hybrid   135   85.6   1.8toyota    4
311 Corolla   2019   25650Automatic     4000Hybrid   135   72.4     2toyota    4
312 Corolla   2019   21350Automatic    15481Hybrid   135   78.5   1.8toyota    4
313 Corolla   2019   22990Automatic     7000Hybrid   135   78.5   1.8toyota    4
314 Corolla   2019   22990Automatic     6000Hybrid   135   78.5   1.8toyota    4
315 Corolla   2019   23650Automatic     7000Hybrid   135   85.6   1.8toyota    4
316 Corolla   2019   21990Automatic    10055Hybrid   135   78.5   1.8toyota    4
317 Corolla   2020   18990Manual        3000Petrol   145   39.2   1.2toyota    3
318 Corolla   2019   21500Automatic     6610Hybrid   135   85.6   1.8toyota    4
319 Corolla   2019   21690Automatic     9823Hybrid   135   78.5   1.8toyota    4
320 Corolla   2019   22750Automatic     9000Hybrid   135   72.4     2toyota    4
321 Corolla   2019   22250Automatic     8563Hybrid   135   78.5   1.8toyota    4
322 Corolla   2019   24495Automatic     2165Hybrid   135   72.4     2toyota    4
323 Corolla   2019   24295Automatic     6568Hybrid   135   72.4     2toyota    4
324 Corolla   2019   22000Automatic     7575Hybrid   135   78.5   1.8toyota    4
325 Corolla   2019   16500Manual        6170Petrol   145   39.2   1.2toyota    4
326 Corolla   2019   23500Automatic     6033Hybrid   135   78.5   1.8toyota    4
327 Corolla   2007    2795Manual       71248Petrol   260   36.7   1.8toyota   16
328 Corolla   2005    2495Manual       88150Diesel   125   58.9   1.4toyota   18
329 Corolla   2005    3495Manual       77500Petrol   235   40.4   1.6toyota   18
330 Corolla   2004    2095Manual       96000Petrol   260   36.7   1.8toyota   19
331 Corolla   2019   23250Automatic     3568Hybrid   140   72.4     2toyota    4
332 Corolla   2019   21494Automatic     7792Hybrid   135   78.5   1.8toyota    4
333 Corolla   2019   21249Automatic    10353Hybrid   135   85.6   1.8toyota    4
334 Corolla   2019   21250Automatic     7125Hybrid   135   85.6   1.8toyota    4
335 Corolla   2019   21995Automatic     8661Hybrid   135   78.5   1.8toyota    4
336 Corolla   2019   22995Automatic     4319Hybrid   140   85.6   1.8toyota    4
337 RAV4      2017   20000Automatic    30379Hybrid    20   57.6   2.5toyota    6
338 RAV4      2017   16500Manual       25271Diesel   125   60.1     2toyota    6
339 RAV4      2016   15995Manual       11291Diesel   125   60.1     2toyota    7
340 RAV4      2015   13500Manual       45757Diesel   125   57.6     2toyota    8
341 RAV4      2017   22480Automatic    25170Hybrid   135   55.4   2.5toyota    6
342 RAV4      2015   13698Automatic    43830Diesel   260   42.2   2.2toyota    8
343 RAV4      2016   17998Automatic    58377Hybrid    20   55.4   2.5toyota    7
344 RAV4      2016   14998Manual       40054Diesel   125   60.1     2toyota    7
345 RAV4      2013   10998Automatic    45322Diesel   260   42.2   2.2toyota   10
346 RAV4      2016   13498Manual       32061Diesel   125   60.1     2toyota    7
347 RAV4      2017   17500Automatic    26528Petrol   145   43.5     2toyota    6
348 RAV4   2017 16498Automatic     37539Petrol   200   43.5    2toyota     6
349 RAV4   2014  9698Manual        80049Diesel   145    53     2toyota     9
350 RAV4   2016 14817Manual        35286Diesel   125   60.1    2toyota     7

351 RAV4   2019   29399Automatic    9650Hybrid   135   51.1   2.5toyota    4
352 RAV4   2019   32995Automatic    7017Hybrid   135   49.6   2.5toyota    4
353 RAV4   2016   19995Automatic   40827Hybrid    20   55.4   2.5toyota    7
354 RAV4   2016   20495Automatic   18000Hybrid    20   57.6   2.5toyota    7
355 RAV4   2016   21495Automatic   29489Hybrid    20   55.4   2.5toyota    7
356 RAV4   2019   29995Automatic   20124Hybrid   140   51.1   2.5toyota    4
357 RAV4   2016   20495Automatic   41060Hybrid    20   55.4   2.5toyota    7
358 RAV4   2017   20795Automatic   25000Hybrid    20   57.6   2.5toyota    6
359 RAV4   2015   11995Manual      49150Diesel   125   57.6     2toyota    8
360 RAV4   2016   13995Manual      71046Diesel   125   60.1     2toyota    7
361 RAV4   2014   12995Manual      69401Diesel   125   57.6     2toyota    9
362 RAV4   2016   14495Manual      49097Diesel   125   60.1     2toyota    7
363 RAV4   2016   14695Manual      39591Diesel   125   60.1     2toyota    7
364 RAV4   2019   29498Automatic    9727Hybrid   135   49.6   2.5toyota    4
365 RAV4   2019   31498Automatic    9258Hybrid   135   49.6   2.5toyota    4
